race,rekomendasi,gambar,style,price,gender,Inspo
asian,"Caps (Nike Sportswear Heritage 86), Shirt (AIRism Pique Short Sleeve Polo), Chinos (Asos Chinos Light Grey), Sneakers (Nike Air Force 1)","nike-sportswear-heritage-86-futura-washed-cap.jpg, pique-short-sleeve-polo-shirt.jpg, asos-chinos-light-grey.jpg, nike-air-force-1-sneaker.jpg",Casual,"249000, 299000, 303206, 1549000",Man,
asian,"Hoodie (Niepce HTGY Hoodie Urban), Jogger Pants (Stoota Jogger Pants), Shoes (Adidas Oznova Shoes)","niepce-htgy-hoodie-urban.jpg, stoota-jogger-pants.jpg, adidas-oznova.jpg",Streetwear,"1289000, 207000, 1235000",Man,https://urbxn-techwear.com/wp-content/uploads/2021/11/cyberpunk-techwear-hoodie-4.jpg
asian,"Suit (Dusty Rose Slim Fit Suit), T-Shirt (Baige Tshirt) ,Pants (Dusty Rose Slim Fit Pants), Shoes (Tuxedo Shoes Patent Leather Black Round Toe)","dusty-rose-slim-fit-suit.jpg, beige-tshirt.jpg, dusty-rose-slim-fit-pants.jpg, tuxedo-shoes-patent-leather-black-round-toe.jpg",Formal,"3000000, 150000, 600000, 900000",Man,https://www.shutterstock.com/image-photo/portrait-korean-asian-handsome-smile-600w-2103287651.jpg
asian,"Top (Balenciaga Single-Breasted Blazer), T-Shirt (Grey T-Shirt),  Pants (Military-Code Cargo Pants), Shoes (Black Leather Shoes)","balenciaga-singlebreasted-blazer.jpg, grey-tshirt.jpg, militarycode-cargo-pants.jpg, black-leather-shoes.jpg",Casual,"13000000, 300000, 2000000, 1000000",Man,https://www.instagram.com/p/CrqMzeCLEjq/?hl=en
asian,Top (Double Patchwork I-Tech Tee) Pants (Summer Casual Straight-Leg Hip-Hop Grey Sweatpants) Shoes (Vintage Blue Converse),"double-patchwork-itech-tee.jpg, summer-casual-straightleg-hiphop-grey-sweatpants.jpg, vintage-blue-converse.jpg",Casual,"600000, 700000, 799000",Woman,https://www.instagram.com/p/CsYodErva3K/?hl=en
asian,"Necklace (Jace Necklace), T-Shirt (Oversized Linen Mix T-Shirt), Pants (Ken Jersey Trackpants), Shoes (Velosamba Vegan Cycling Shoes White)","jace-necklace.jpg, oversized-linen-mix-t-shirt.jpg, ken-jersey-trackpants.jpg, adidas-velosamba-vegan-cycling-shoes.jpg",Casual,"320000, 370000, 820000, 2000000",Man,"https://lp.weekday.com/app003prod?set=key[resolve.pixelRatio],value[1]&set=key[resolve.width],value[675]&set=key[resolve.height],value[10000]&set=key[resolve.imageFit],value[containerwidth]&set=key[resolve.allowImageUpscaling],value[0]&set=key[resolve.format],value[jpeg]&set=key[resolve.quality],value[90]&set=source[/90/24/90244de02c96a0e387b1df679f2c9d0bd901746b.jpg],origin[dam],type[LOOKBOOK],ImageVersion[1]&call=url[file:/product/dynamic.chain]"
asian,"Necklace (Jace Necklace), Shirt (Regular Printed Shirt), Jeans (Arrow Low Heavy Stitching), Boots (Round Toe Zippers Boots Short Ankle Boot)","jace-necklace.jpg, regular-printed-shirt.jpg, arrow-low-heavy-stitching.webp, round-toe-zippers-boots-short-ankle-boot.webp",Formal,"320000 ,900000, 500000, 800000",Woman,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2F7a%2Fa5%2F7aa50243237f6bfe5f3232cbb9a93acc3d7afd99.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
asian,"Top (Ramie Linen Cotton Women Long Blouse),  Shirt (White Shirt),Pants (High-Waisted Wide-Leg Trousers),  Shoes (White Sneakers)","ramie-linen-cotton-women-long-blouse.jpg, white-shirt.jpg, high-waisted-wide-legged-trousers.jpg, white-sneakers.jpg",Casual,"1000000, 219000, 400000",Woman,https://istorist.de/da/products/ramie-linen-cotton-women-long-blouse-212099h
asian,"Shirt (Casual Style Unisex Street Style Long Sleeves Plain Cotton), Jeans (Hip-hop Baggy Jeans), Shoes (Adidas Superstar Sneakers)","casual-style-unisex-street-style-long-sleeves-plain-cotton.jpg, hiphop-baggy-jeans.jpg, adidas-superstar-sneakers.jpg",Casual,"200000, 250000, 180000",Man,https://www.buyma.us/items/28daf632-e382-4ffc-967d-56cd6a577442/
asian,"Hoodie (Women Beige Cotton Hoodie), Skirt (Cotton Flared Midi Skirt), Shoes (Concave White Sneakers)","women-beige-cotton-hoodie.jpg, cotton-flared-midi-skirt.jpg, concave-white-sneakers.jpg",Casual,"200000, 300000, 400000",Woman,https://www.instagram.com/p/CsyzqfVNuLg/?hl=en
